#序號 字 小韻序號 頁碼
3157 怮 341 395
3158 要 341 395/396
3159 腰 341 396
3160 𦝫 341 396
3161 邀 341 396
3162 喓 341 396
3163 葽 341 396
3164 𢆷 341 396
3165 妖 341 396
3166 𡝩 341 396
3167 䄏 341 396
3168 祅 341 396
3169 枖 341 396
3170 夭 341 396
3171 宎 341 396
3172 橇 342 396
3173 趫 342 396
3174 蹻 342 396/397
3175 驕 342 397
3176 篍 343 397
3177 鍫 343 397
3178 幧 343 397
3179 焦 344 397
3180 燋 344 397
3181 𪚰 344 397
3182 蕉 344 398
3183 膲 344 398
3184 鐎 344 398
3185 僬 344 398
3186 嶕 344 398
3187 椒 344 398/399
3188 噍 344 399
3189 鷦 344 399
3190 樵 345 399
3191 譙 345 399
3192 燋 345 399
3193 顦 345 399
3194 憔 345 399
3195 焦 345 399
3196 嫶 345 399
3197 癄 345 399
3198 蕉 345 399
3199 猋 346 399/400
3200 飊 346 400
3201 標 346 400
3202 杓 346 400
3203 幖 346 400
3204 熛 346 400
3205 𤊆 346 400
3206 票 346 400
3207 𤐫 346 400
3208 飄 346 400
3209 髟 346 400
3210 贆 346 400
3211 摽 346 400
3212 鑣 346 400
3213 瀌 346 400
3214 麃 346 400
3215 穮 346 400
3216 臕 346 400
3217 藨 346 400/401
3218 儦 346 401
3219 漂 347 401
3220 飄 347 401
3221 慓 347 401
3222 彯 347 401
3223 剽 347 401
3224 摽 347 401
3225 僄 347 401
3226 縹 347 401
3227 票 347 401
3228 嘌 347 401
3229 瓢 348 401
3230 薸 348 401
3231 剽 348 401
3232 苗 349 402
3233 貓 349 402
3234 緢 349 402
3235 燒 350 402
3236 弨 351 402
3237 超 351 402
3238 怊 351 402
3239 昭 352 402
3240 鉊 352 402
3241 招 352 402
3242 釗 352 402
3243 炤 352 402
3244 朝 352 402
3245 鼂 352 402
3246 韶 353 403
3247 㲈 353 403
3248 招 353 403
3249 佋 353 403
3250 昭 353 403
3251 詔 353 403
3252 苕 353 403
3253 饒 354 403
3254 橈 354 403
3255 襓 354 403
3256 嬈 354 403/404
3257 蕘 354 404
3258 㹛 354 404
3259 擾 354 404
3260 潮 355 404
3261 鼂 355 404
3262 晁 355 404
3263 朝 355 404
3264 堯 356 404
3265 嶢 356 404
3266 嶤 356 404
3267 垚 356 405
3268 僥 356 405
3269 遙 356 405
3270 𨖈 356 405
3271 隃 356 405
3272 㑾 356 405
3273 傜 356 405
3274 繇 356 405
3275 䌛 356 405
3276 佻 356 405
3277 颻 356 405
3278 窯 356 405
3279 𧄎 356 405
3280 蘨 356 405
3281 鰩 356 405
3282 姚 356 405
3283 窕 356 405
3284 搖 356 405
3285 謠 356 405/406
3286 軺 356 406
3287 䍃 356 406
3288 愮 356 406
3289 瑤 356 406
3290 珧 356 406
3291 銚 356 406
3292 洮 356 406
3293 嗂 356 406
3294 猶 356 406
3295 陶 356 406
3296 褕 356 406
3297 揄 356 406
3298 鷂 356 406/407
3299 橋 357 407
3300 招 357 407
3301 荍 357 407
3302 劭 357 407
3303 喬 357 407
3304 僑 357 407
3305 翹 357 407
3306 轎 357 407/408
3307 蟜 357 408
3308 蹻 357 408
3309 嶠 357 408
3310 鴞 358 408
3311 囂 358 408
3312 嚻 358 408
3313 枵 358 408
3314 呺 358 408
3315 歊 358 409
3316 𣤙 358 409
3317 毊 358 409
3318 獢 358 409
3319 驕 358 409
3320 虈 358 409
3321 熇 358 409
3322 膮 358 409
3323 嘵 358 409
3324 驍 358 409
3325 裊 358 409
3326 爻 359 413
3327 肴 359 413
3328 殽 359 413
3329 淆 359 413
3330 崤 359 413
3331 筊 359 413/414
3332 姣 359 414
3333 交 360 414
3335 蛟 360 414
3336 茭 360 414
3337 芁 360 414
3338 郊 360 414
3339 鮫 360 414
3340 嵺 360 414
3341 膠 360 414
3342 嘐 360 414
3343 咬 360 414/415
3344 敎 360 415
3345 鵁 360 415
3346 轇 360 415
3347 敲 361 415
3348 骹 361 415
3349 墝 361 415
3350 磽 361 415
3351 鄗 361 415
3352 哮 362 415
3353 虓 362 415
3354 唬 362 415
3355 烋 362 415
3356 詨 362 415
3357 嗃 362 415
3358 嚆 362 415
3359 謞 362 415
3360 髇 362 415
3361 嘐 362 415
3362 涍 362 415
3363 坳 363 415/416
3364 䫜 363 416
3365 咬 363 416
3366 包 364 416
3367 苞 364 416
3368 胞 364 416
3369 枹 364 416
3370 胞 365 416
3371 拋 365 416/417
3372 摽 365 417
3373 抱 365 417
3374 泡 365 417
3375 脟 365 417
3376 庖 366 417
3377 包 366 417
3378 麃 366 417
3379 咆 366 417
3380 跑 366 417
3381 鞄 366 417
3382 匏 366 417/418
3383 炮 366 418
3384 炰 366 418
3385 袍 366 418
3386 謈 366 418
3387 茅 367 418
3388 茆 367 418/419
3389 貓 367 419
3390 猫 367 419
3391 犛 367 419
3392 罞 367 419
3393 蝥 367 419
3394 媌 367 419
3395 毛 367 419
3396 髦 367 419
3397 旄 367 419
3398 軞 367 420
3399 䭷 367 420
3400 芼 367 420
3401 枆 367 420
3402 耗 367 420
3403 梢 368 420
3404 捎 368 420
3405 鞘 368 420
3406 弰 368 420
3407 旓 368 420
3408 髾 368 420
3409 筲 368 420
3410 蛸 368 420
3411 䜈 369 420
3412 鈔 369 420
3413 抄 369 420
3414 勦 369 420
3415 巢 370 420/421
3416 轈 370 421
3417 勦 370 421
3418 𡻝 370 421
3419 漅 370 421
3420 嘲 371 421
3421 啁 371 421
3422 謿 371 421
3423 罺 371 421
3424 𥲀 371 421
3425 鐃 372 421/422
3426 呶 372 422
3427 譊 372 422
3428 撓 372 422
3429 怓 372 422
3430 豪 373 422
3431 毫 373 422
3432 號 373 422
3433 臯 373 422/423
3434 噑 373 423
3435 譹 373 423
3436 呺 373 423
3437 濠 373 423
3438 壕 373 423
3439 㠙 373 423
3440 蒿 374 423
3441 撓 374 423
3442 薅 374 423
3443 高 375 423/424
3444 臯 375 424
3445 睾 375 424
3446 𣽎 375 424
3447 咎 375 424
3448 鼛 375 424
3449 膏 375 424/425
3450 羔 375 425
3451 餻 375 425
3452 橰 375 425
3453 篙 375 425
3454 鏖 376 425
3455 䥝 376 425
3456 爊 376 425
3457 敖 377 425
3458 遨 377 425
3459 熬 377 425
3460 獒 377 425
3461 𨅚 377 425
3462 嗷 377 425
3463 嗸 377 425
3464 謷 377 426
3465 𢧴 377 426
3466 鼇 377 426
3467 驁 377 426
3468 摮 377 426
3469 翺 377 426
3470 嚻 377 426
3471 聱 377 426
3472 嶅 377 426
3473 磝 377 426
3474 襃 378 426
3475 褒 378 426
3476 裦 378 426
3477 騷 379 426
3478 搔 379 426/427
3479 缫 379 427
3480 繰 379 427
3481 溞 379 427
3482 艘 379 427
3483 颾 379 427
3484 臊 379 427
3485 鱢 379 427
3486 槮 379 427
3487 橾 379 427
3488 慅 379 427
3489 操 380 427
3490 遭 381 427
3491 糟 381 427
3492 曹 382 427
3493 槽 382 427
3494 嶆 382 427
3495 艚 382 427
3496 漕 382 427
3497 嘈 382 427
3498 螬 382 427
3499 刀 383 427
3500 魛 383 428
3501 忉 383 428
3502 裯 383 428
3503 舠 383 428
3504 饕 384 428
3505 叨 384 428
3506 慆 384 428
3507 謟 384 428
3508 夲 384 428
3509 縚 384 428
3510 條 384 428
3511 韜 384 428
3512 綢 384 428/429
3513 弢 384 429
3514 滔 384 429
3515 洮 384 429
3516 槄 384 429
3517 𦩹 384 429
3518 㡊 384 429
3519 挑 384 429
3520 匋 385 429
3521 陶 385 429
3522 淘 385 429
3523 醄 385 429
3524 𩋃 385 429
3525 裪 385 429
3526 綯 385 429
3527 騊 385 429
3528 蜪 385 429
3529 萄 385 429
3530 翿 385 429
3531 纛 385 429
3532 𦇨 385 429
3533 翢 385 429
3534 濤 385 429
3535 䬞 385 429
3536 幬 385 429
3537 檮 385 430
3538 逃 385 430
3539 咷 385 430
3540 桃 385 430/431
3541 鞉 385 431
3542 鼗 385 431
3543 鞀 385 431
3544 勞 386 431
3545 簩 386 431
3546 澇 386 431
3547 潦 386 431
3548 撈 386 431
3549 𧰉 386 431
3550 轑 386 431
3551 牢 386 431/432
3552 醪 386 432
3553 猱 387 432
3554 獿 387 432
3555 巎 387 432
3556 峱 387 432
3557 臑 387 432
3558 尻 388 432
3559 歌 389 435
3560 謌 389 435
3561 哥 389 435
3562 柯 389 435
3563 荷 389 435/436
3564 菏 389 436
3565 舸 389 436
3566 㢦 389 436
3567 牁 389 436
3568 茄 389 436
3569 鴚 389 436
3570 珂 390 436
3571 軻 390 436
3572 訶 391 436
3573 呵 391 436
3574 阿 392 436/437
3575 䋪 392 437
3576 娿 392 437
3577 妸 392 437
3578 痾 392 437
3579 何 393 437/438
3580 河 393 438/439
3581 荷 393 439
3582 苛 393 439
3583 菏 393 439
3584 莪 394 439
3585 哦 394 439
3586 娥 394 439/440
3587 俄 394 440
3588 峨 394 440
3589 鵝 394 440
3590 䳘 394 440
3591 鵞 394 440
3592 蛾 394 440
3593 睋 394 440
3594 娑 395 440
3595 𣯌 395 440
3596 髿 395 440
3597 挱 395 440
3598 沙 395 440
3599 莎 395 440/441
3600 莏 395 441
3601 蓑 395 441
3602 衰 395 441
3603 些 395 441
3604 梭 395 441
3605 傞 395 441
3606 犧 395 441
3607 獻 395 441
3608 唆 395 441
3609 蹉 396 441
3610 瑳 396 441
3611 磋 396 441
3612 差 396 441
3613 嵯 396 441
3614 搓 396 441
3615 醝 397 441
3616 鹺 397 441
3617 齹 397 441
3618 瘥 397 441
3619 䣜 397 441/442
3620 酇 397 442
3621 艖 397 442
3622 瘥 397 442
3623 㽨 397 442
3624 䑘 397 442
3625 𥰭 397 442
3626 多 398 442
3627 佗 399 442
3628 他 399 442
3629 它 399 442
3630 蛇 399 442
3631 詑 399 442
3632 訑 399 442
3633 拕 399 442
3634 拖 399 442/443
3635 駝 400 443
3636 佗 400 443
3637 駝 400 443
3638 馱 400 443
3639 鮀 400 443
3640 他 400 443
3641 紽 400 443
3642 陀 400 443
3643 陁 400 443
3644 阤 400 443
3645 沱 400 443
3646 跎 400 443
3647 𧿶 400 443
3648 迤 400 443
3649 酡 400 443
3650 驒 400 443
3651 鼉 400 443/444
3652 鱓 400 444
3653 池 400 444
3654 沲 400 444
3655 羅 401 444
3656 蘿 401 444
3657 籮 401 444
3658 𤄷 401 444
3659 囉 401 444
3660 饠 401 444
3661 欏 401 445
3662 鑼 401 445
3663 儸 401 445
3664 驘 401 445
3665 虆 401 445
3666 蔂 401 445
3667 𡏱 401 445
3668 蠃 401 445
3669 蠡 401 445
3670 螺 401 445
3671 𥡜 401 445
3672 那 402 445
3673 難 402 445
3674 儺 402 445
3675 捼 402 445
3676 戈 403 445/446
3677 過 403 446
3678 緺 403 446
3679 𨍋 403 446
3680 濄 403 446
3681 媧 403 446
3682 騧 403 446
3683 鍋 403 446
3684 科 404 446
3685 薖 404 446
3686 窠 404 446
3687 渦 405 446
3688 窩 405 446
3689 踒 405 447
3690 㹻 405 447
3691 倭 405 447
3692 和 406 447
3693 龢 406 447
3694 禾 406 447
3695 鉌 406 447
3696 訛 407 447
3697 譌 407 447
3698 僞 407 447
3699 吪 407 447
3700 囮 407 447
3701 鈋 407 447
3702 波 408 447
3703 番 408 448
3704 僠 408 448
3705 嶓 408 448
3706 碆 408 448
3707 磻 408 448
3708 頗 409 448
3709 坡 409 448
3710 陂 409 448
3711 玻 409 448
3712 媻 410 448
3713 婆 410 448
3714 番 410 448
3715 皤 410 448
3716 𩕏 410 448
3717 摩 411 448/449
3718 磨 411 449
3719 䃺 411 449
3720 劘 411 449
3721 魔 411 449
3722 𥂓 411 449
3723 麽 411 449
3724 䯢 411 449
3725 攠 411 449
3726 麻 412 453/454
3727 蟆 412 454
3728 葩 413 454
3729 芭 413 454
3730 舥 413 454
3731 巴 414 454
3732 豝 414 454
3733 鈀 414 454
3734 芭 414 454
3735 笆 414 454
3736 杷 415 454
3737 琶 415 454
3738 爬 415 454/455
3739 沙 416 455
3740 髿 416 455
3741 㲚 416 455
3742 紗 416 455
3743 鯊 416 455
3744 裟 416 455
3745 叉 417 455
3746 差 417 455
3747 杈 417 455
3748 扠 417 455
3749 艖 417 455
3750 靫 417 455
3751 咤 417 455/456
3752 鎈 417 456
3753 樝 418 456
3754 柤 418 456
3755 奓 418 456
3756 檛 419 456
3757 撾 419 456
3758 髽 419 456
3759 槎 420 456
3760 査 420 456/457
3761 茬 420 457
3762 楂 420 457
3763 苴 420 457
3764 荼 420 457
3765 秅 420 457
3766 茶 420 457
3767 𣘻 420 457
3768 涂 420 457
3769 拏 421 457
3770 挐 421 457
3771 笯 421 457
3772 遐 422 457
3773 假 422 457
3774 徦 422 457
3775 瑕 422 457
3776 霞 422 457
3777 蕸 422 457
3778 葭 422 457
3779 蝦 422 457
3780 騢 422 457/458
3781 赮 422 458
3782 鍜 422 458
3783 碬 422 458
3784 呀 423 458
3785 谺 423 458
3786 鰕 423 458
3787 呿 424 458
3788 嘉 425 458
3789 佳 425 458
3790 加 425 458
3791 家 425 458
3792 珈 425 458
3793 葭 425 458
3794 茄 425 458/459
3795 豭 425 459
3796 麚 425 459
3797 笳 425 459
3798 耞 425 459
3799 枷 425 459
3800 迦 425 459
3801 伽 426 459
3802 鴉 427 459
3803 丫 427 459
3804 啞 427 459
3805 亞 427 459
3806 椏 427 459
3807 牙 428 459
3808 芽 428 459
3809 枒 428 459
3810 呀 428 459/460
3811 齖 428 460
3812 涯 428 460
3813 厓 428 460
3814 倪 428 460
3815 衙 428 460
3816 崖 428 460
3817 華 429 460
3818 崋 429 460
3819 蕐 429 460
3820 驊 429 460
3821 譁 429 460
3822 鏵 429 460
3823 划 429 460
3824 鋘 429 460
3825 花 430 460
3826 華 430 460
3827 蕐 430 460
3828 化 430 460/461
3829 誇 431 461
3830 侉 431 461
3831 夸 431 461
3832 荂 431 461
3833 姱 431 461
3834 恗 431 461
3835 跨 431 461
3836 胯 431 461
3837 𠇗 431 461
3838 華 431 461
3839 瓜 432 461
3840 媧 432 461
3841 騧 432 461
3842 𩢍 432 461
3843 緺 432 461
3844 蝸 432 462
3845 窊 433 462
3846 窪 433 462
3847 洼 433 462
3848 蛙 433 462
3849 鼃 433 462
3850 䵷 433 462
3851 哇 433 462
3852 娃 433 462
3853 汙 433 462
3854 唲 433 462
3855 遮 434 466
3856 奢 435 466
3857 賒 435 466
3858 畬 435 466
3859 赦 435 466
3860 些 436 466
3861 車 437 466
3862 硨 437 466
3863 嗟 438 466
3864 罝 438 467
3865 瘥 438 467
3866 邪 439 467
3867 衺 439 467
3868 耶 439 467
3869 斜 439 467
3870 䔑 439 467
3871 蛇 440 467
3872 闍 440 467
3873 鉈 440 467
3874 佘 440 467
3875 耶 441 467
3876 釾 441 467
3877 邪 441 467/468
3878 斜 441 468
3879 枒 441 468
3880 茄 442 468
3881 爹 443 468
3882 靴 444 468
3883 鞾 444 468
3884 瘸 445 468
3885 陽 446 470
3886 昜 446 470
3887 暘 446 470/471
3888 楊 446 471
3889 揚 446 471
3890 敭 446 471
3891 颺 446 471
3892 瘍 446 471
3893 鍚 446 471
3894 瑒 446 471
3895 霷 446 471
3896 禓 446 471
3897 煬 446 471
3898 羊 446 472
3899 鴹 446 472
3900 徉 446 472
3901 洋 446 472/473
3902 痒 446 473
3903 佯 446 473
3904 詳 446 473
3905 芳 447 473
3906 妨 447 473
3907 方 447 473
3908 放 447 473/474
3909 祊 447 474
3910 肪 447 474
3911 坊 447 474
3912 枋 447 474
3913 房 448 474
3914 防 448 474/475
3915 坊 448 475
3916 魴 448 475
3917 亡 449 475
3918 忘 449 475
3919 芒 449 475
3920 鋩 449 475
3921 望 449 475
3922 朢 449 475
3923 杗 449 475
3924 襄 450 476
3925 緗 450 476
3926 纕 450 476
3927 瓖 450 476
3928 相 450 476
3929 廂 450 476
3930 箱 450 476
3931 湘 450 476
3932 驤 450 476
3933 鏘 451 476
3934 將 451 476
3935 嶈 451 476
3936 槍 451 476/477
3937 蹌 451 477
3938 搶 451 477
3939 蹡 451 477
3940 斨 451 477
3941 鶬 451 477
3942 牄 451 477
3943 將 452 477
3944 漿 452 477
3945 蔣 452 477/478
3946 螿 452 478
3947 槳 452 478
3948 詳 453 478
3949 祥 453 478
3950 庠 453 478
3951 翔 453 478
3952 鴹 453 478
3953 牆 454 478
3954 廧 454 478
3955 檣 454 478
3956 戕 454 478
3957 嬙 454 479
3958 蘠 454 479
3959 薔 454 479
3960 商 455 479
3961 謪 455 479
3962 傷 455 479
3963 殤 455 479
3964 禓 455 479
3965 觴 455 479/480
3966 𨢩 455 480
3967 鬺 455 480
3968 湯 455 480
3969 畼 455 480
3970 愓 455 480
3971 饟 455 480
3972 昌 456 480
3973 閶 456 480
3974 倡 456 480
3975 菖 456 480
3976 猖 456 480
3977 創 456 480
3978 滄 456 480
3979 愴 456 480
3980 倀 456 480/481
3981 廠 456 481
3982 章 457 481
3983 彰 457 481
3984 嫜 457 481
3985 璋 457 481
3986 鄣 457 481
3987 漳 457 481/482
3988 墇 457 482
3989 障 457 482
3990 樟 457 482
3991 獐 457 482
3992 麞 457 482
3993 張 457 482/483
3994 粻 457 483
3995 漲 457 483
3996 常 458 483
3997 尚 458 483
3998 裳 458 483
3999 甞 458 483
4000 償 458 483
4001 鱨 458 483
4002 穰 459 483/484
4003 禳 459 484
4004 攘 459 484
4005 𥀶 459 484
4006 勷 459 484
4007 𨟚 459 484
4008 瀼 459 484
4009 瓤 459 484
4010 娘 460 484
4011 霜 461 484
4012 驦 461 484
4013 爽 461 484
4014 鷞 461 484
4015 鸘 461 484
4016 孀 461 484
4017 雙 461 484
4018 艭 461 484
4019 𢥠 461 484
4020 瀧 461 485
4021 瘡 462 485
4022 創 462 485
4023 牎 462 485
4024 窻 462 485
4025 囱 462 485
4026 摐 462 485
4027 鏦 462 485
4028 憃 462 485
4029 莊 463 485
4030 妝 463 485
4031 裝 463 485
4032 𧚌 463 485
4033 樁 463 485
4034 牀 464 485/486
4035 漎 464 486
4036 淙 464 486
4037 從 464 486
4038 幢 464 486
4039 撞 464 486
4040 橦 464 486
4041 長 465 486
4042 場 465 486
4043 塲 465 486
4044 腸 465 486
4045 萇 465 486
4046 良 466 486
4047 俍 466 486/487
4048 椋 466 487
4049 㹁 466 487
4050 蜋 466 487
4051 踉 466 487
4052 梁 466 487
4053 粱 466 487
4054 輬 466 487/488
4055 量 466 488
4056 糧 466 488
4057 涼 466 488
4058 𩗬 466 488
4059 香 467 488
4060 薌 467 488
4061 鄉 467 488
4062 膷 467 488
4063 饗 467 489
4064 享 467 489
4065 羌 468 489
4066 蜣 468 489
4067 慶 468 489
4068 腔 468 489
4069 椌 468 489
4070 悾 468 489
4071 控 468 489
4072 矼 468 489
4073 薑 469 489
4074 䕬 469 490
4075 畺 469 490
4076 彊 469 490
4077 僵 469 490
4078 傹 469 490
4079 韁 469 490
4080 疆 469 490
4081 䗵 469 490
4082 礓 469 490
4083 橿 469 490
4084 姜 469 490
4085 江 469 490
4086 玒 469 490
4087 彊 470 490/491
4088 强 470 491
4089 央 471 491
4090 殃 471 491
4091 䄃 471 491
4092 鉠 471 491
4093 鴦 471 491
4094 秧 471 491
4095 泱 471 491
4096 雵 471 491
4097 王 472 491
4098 狂 473 492
4099 匡 474 492
4100 筐 474 492
4101 洭 474 492
4102 恇 474 492
4103 眶 474 492
4104 劻 474 492
4105 唐 475 492
4106 塘 475 492
4107 螗 475 492
4108 煻 475 492
4109 螳 475 492
4110 盪 475 492
4111 餹 475 492
4112 餳 475 492
4113 踼 475 492/493
4114 棠 475 493
4115 堂 475 493
4116 碭 475 493
4117 當 476 493
4118 襠 476 493/494
4119 璫 476 494
4120 鐺 476 494
4121 東 476 494
4122 簹 476 494
4123 艡 476 494
4124 湯 477 494
4125 鏜 477 494
4126 郎 478 494
4127 廊 478 494/495
4128 浪 478 495
4129 狼 478 495
4130 筤 478 495
4131 閬 478 495
4132 硠 478 495
4133 琅 478 495
4134 稂 478 495
4135 榔 478 495/496
4136 桹 478 496
4137 蜋 478 496
4138 鋃 478 496
4139 瀧 478 496
4140 囊 479 496
4141 滂 480 496
4142 霶 480 496
4143 雱 480 496
4144 汸 480 496
4145 磅 480 496
4146 旁 481 496
4147 傍 481 496/497
4148 彭 481 497
4149 房 481 497
4150 彷 481 497
4151 仿 481 497
4152 徬 481 497
4153 方 481 497
4154 龐 481 497
4155 逄 481 497
4156 𧔧 481 497
4157 逢 481 497
4158 茫 482 497
4159 汒 482 497
4160 鋩 482 497
4161 芒 482 497
4162 恾 482 497
4163 㡛 482 497
4164 忙 482 497
4165 蘉 482 497
4166 明 482 497
4167 尨 482 497
4168 蒙 482 497
4169 庬 482 497
4170 龍 482 497/498
4171 哤 482 498
4172 邙 482 498
4173 桑 483 498
4174 顙 483 498
4175 倉 483 498
4176 喪 483 498
4177 倉 484 498
4178 蒼 484 498/499
4179 滄 484 499
4180 鶬 484 499
4181 臧 485 499
4182 贓 485 499
4183 𢍿 485 499
4184 牂 485 499
4185 將 485 499
4186 葬 485 499
4187 藏 486 499
4188 臧 486 499
4189 康 487 499
4190 穅 487 499
4191 糠 487 499/500
4192 𤮊 487 500
4193 慷 487 500
4194 忼 487 500
4195 亢 487 500
4196 岡 488 500
4197 剛 488 500
4198 綱 488 500
4199 鋼 488 500
4200 犅 488 500
4201 堈 488 500
4202 亢 488 500
4203 肮 488 500
4204 吭 488 500
4205 頏 488 500
4206 蚢 488 500
4207 㽘 488 500
4208 扛 488 500
4209 杠 488 500
4210 釭 488 500
4211 矼 488 500/501
4212 缸 488 501
4213 瓨 488 501
4214 卬 489 501
4215 昂 489 501
4216 仰 489 501
4217 䭹 489 501
4218 㭿 489 501
4219 杭 490 501
4220 航 490 501
4221 斻 490 501
4222 行 490 501
4223 桁 490 501
4224 頏 490 501
4225 亢 490 501
4226 汪 491 501/502
4227 尩 491 502
4228 尪 491 502
4229 㑌 491 502
4230 匡 491 502
4231 荒 492 502
4232 衁 492 502
4233 肓 492 502
4234 㡆 492 502
4235 芒 492 502
4236 光 493 502
4237 洸 493 502
4238 僙 493 502
4239 廣 493 502
4240 胱 493 502
4241 垙 493 502
4242 黃 494 503
4243 潢 494 503
4244 璜 494 503
4245 簧 494 503
4246 皇 494 503/504
4247 遑 494 504
4248 湟 494 504
4249 凰 494 504
4250 艎 494 504
4251 堭 494 504
4252 蝗 494 504
4253 篁 494 504
4254 騜 494 504
4255 䍿 494 504
4256 煌 494 504
4257 隍 494 504
4258 徨 494 504
4259 偟 494 504
4260 瑝 494 504
4261 惶 494 504
4262 喤 494 504
4263 邦 495 504
4264 搒 495 504
4265 榜 495 504
4266 彭 495 504
4267 幫 495 504
4268 縍 495 504/505
4269 鞤 495 505
4270 降 496 505
4271 訌 496 505
4272 虹 496 505
4273 舡 497 505
4274 庚 498 512
4275 亢 498 512
4276 賡 498 512
4277 更 498 512/513
4278 秔 498 513
4279 稉 498 513
4280 羹 498 513
4281 𩱋 498 513
4282 鶊 498 513
4283 耕 498 513
4284 阬 499 513
4285 坑 499 513
4286 鏗 499 513
4287 誙 499 513/514
4288 硜 499 514
4289 牼 499 514
4290 䃘 499 514
4291 盲 500 514
4292 杗 500 514
4293 蝱 500 514
4294 虻 500 514
4295 莔 500 514
4296 甍 500 514
4297 萌 500 514
4298 明 500 514
4299 氓 500 514
4300 甿 500 514
4301 瞢 500 514
4302 夢 500 514
4303 儚 500 514
4304 亨 501 514
4305 脝 501 514
4306 行 502 514/515
4307 衡 502 515
4308 恆 502 515
4309 珩 502 515
4310 蘅 502 515/516
4311 桁 502 516
4312 莖 502 516
4313 橫 503 516
4314 衡 503 516
4315 黌 503 516
4316 璜 503 516
4317 瑝 503 516
4318 彋 503 516
4319 喤 503 516
4320 鍠 503 516
4321 鐄 503 516
4322 宏 503 516
4323 閎 503 516
4324 紘 503 516
4325 翃 503 516
4326 竑 503 516/517
4327 鈜 503 517
4328 嶸 503 517
4329 𡵓 503 517
4330 嵤 503 517
4331 𧮯 503 517
4332 谹 503 517
4333 宖 503 517
4334 弘 503 517
4335 鞃 503 517
4336 䡏 503 517
4337 䡌 503 517
4338 𩉦 503 517
4339 苰 503 517
4340 觥 504 517
4341 肱 504 517
4342 厷 504 517
4343 烹 505 517/518
4344 亨 505 518
4345 磅 505 518
4346 彭 506 518
4347 騯 506 518
4348 輣 506 518
4349 趽 506 518
4350 棚 506 518
4351 榜 506 518
4352 搒 506 518
4353 篣 506 518
4354 掤 506 518
4355 朋 506 518
4356 鵬 506 518
4357 堋 506 518
4358 崢 507 519
4359 錚 507 519
4360 琤 507 519
4361 瞠 507 519
4362 橕 507 519
4363 鐺 507 519
4364 鎗 507 519
4365 槍 507 519
4366 鏘 507 519
4367 棖 508 519
4368 朾 508 519
4369 䟫 508 519
4370 掁 508 519
4371 橙 508 519
4372 瞪 508 519
4373 兵 509 519
4374 并 509 519/520
4375 併 509 520
4376 栟 509 520
4377 冰 509 520
4378 弸 509 520
4379 掤 509 520
4380 平 510 520
4381 枰 510 520
4382 評 510 520
4383 苹 510 520/521
4384 玶 510 521
4385 缾 510 521
4386 屛 510 521
4387 萍 510 521
4388 蓱 510 521
4389 輧 510 521
4390 郱 510 521
4391 洴 510 521
4392 𤳊 510 521
4393 駢 510 521
4394 凭 510 521
4395 憑 510 521
4396 馮 510 521
4397 𠗦 510 521
4398 淜 510 521
4399 明 511 521/522
4400 朙 511 522
4401 眀 511 522
4402 盟 511 522
4403 鳴 511 522
4404 䳟 511 522
4405 名 511 522
4406 洺 511 522
4407 銘 511 522/523
4408 冥 511 523
4409 暝 511 523
4410 瞑 511 523
4411 覭 511 523
4412 螟 511 523
4413 蓂 511 523
4414 溟 511 523
4415 鄍 511 523
4416 生 512 523
4417 笙 512 523
4418 甥 512 523
4419 牲 512 523
4420 猩 512 523
4421 鼪 512 523
4422 狌 512 523/524
4423 鉎 512 524
4424 京 513 524
4425 荆 513 524
4426 驚 513 524
4427 麠 513 524
4428 麖 513 524
4429 經 513 524/525
4430 涇 513 525
4431 兢 513 525
4432 矜 513 525
4433 卿 514 525
4434 𨆪 514 525
4435 勍 515 525
4436 黥 515 525/526
4437 剠 515 526
4438 擎 515 526
4439 鯨 515 526
4440 䲔 515 526
4441 檠 515 526
4442 㯳 515 526
4443 擏 515 526
4444 英 516 526
4445 韺 516 526/527
4446 瑛 516 527
4447 霙 516 527
4448 柍 516 527
4449 央 516 527
4450 罌 516 527
4451 甖 516 527
4452 罃 516 527
4453 鸎 516 527
4454 鶯 516 527
4455 櫻 516 527
4456 鸚 516 527
4457 嚶 516 527
4458 嬰 516 527
4459 瓔 516 527
4460 纓 516 527
4461 攖 516 527/528
4462 膺 516 528
4463 應 516 528
4464 鷹 516 528
4465 譍 516 528
4466 𧕄 516 528
4467 榮 517 528
4468 蠑 517 528
4469 醟 517 528
4470 熒 517 528
4471 縈 517 528
4472 𦾵 517 528
4473 螢 517 528
4474 濙 517 528
4475 滎 517 528
4476 嵤 517 528
4477 營 517 528/529
4478 謍 517 529
4479 塋 517 529
4480 𤬐 517 529
4481 瑩 517 529
4482 禜 517 529
4483 傖 518 529
4484 兄 519 529
4485 鍧 520 529
4486 訇 520 529
4487 轟 520 529
4488 輷 520 529
4489 渹 520 529
4490 薨 520 529
4491 爭 521 529/530
4492 諍 521 530
4493 箏 521 530
4494 綪 521 530
4495 丁 521 530
4496 玎 521 530
4497 能 522 530
4498 儜 522 530
4499 獰 522 530
4500 𦺝 522 530
4501 𧭈 522 530
4502 耐 522 530
4503 攘 522 530
4504 囊 522 530
4505 寧 523 530
4506 甯 523 530/531
4507 寍 523 531
4508 嚀 523 531
4509 絣 524 531
4510 伻 524 531
4511 抨 524 531
4512 拼 524 531
4513 繃 524 531
